full_text,sentences,cleansing,case folding,tokens,normalize,Stopword,stemming
@moonjinbykairaa Oh kek kopken janji_jiwa gitu ya,@moonjinbykairaa Oh kek kopken janji_jiwa gitu ya, Oh kek kopken janjijiwa gitu ya, oh kek kopken janji_jiwa gitu ya,"['oh', 'kek', 'kopken', 'janji_jiwa', 'gitu', 'ya']","['oh', 'kayak', 'kopi kenangan', 'janji_jiwa', 'begitu', 'ya']","['kayak', 'kopi kenangan', 'janji_jiwa']",kayak kopi kenang janji_jiwa
Lanjut dari janji_jiwa ke STAY HUNGRY ada yang tau https://t.co/u0iWPcpfKt,Lanjut dari janji_jiwa ke STAY HUNGRY ada yang tau https://t.co/u0iWPcpfKt,Lanjut dari janjijiwa ke STAY HUNGRY ada yang tau ,lanjut dari janji_jiwa ke stay hungry ada yang tau ,"['lanjut', 'dari', 'janji_jiwa', 'ke', 'stay', 'hungry', 'ada', 'yang', 'tau']","['lanjut', 'dari', 'janji_jiwa', 'ke', 'stay', 'hungry', 'ada', 'yang', 'tau']","['lanjut', 'janji_jiwa', 'stay', 'hungry', 'tau']",lanjut janji_jiwa stay hungry tau
hari ini kopi nya caramel macchiato dari janji_jiwa,hari ini kopi nya caramel macchiato dari janji_jiwa,hari ini kopi nya caramel macchiato dari janjijiwa,hari ini kopi nya caramel macchiato dari janji_jiwa,"['hari', 'ini', 'kopi', 'nya', 'caramel', 'macchiato', 'dari', 'janji_jiwa']","['hari', 'ini', 'kopi', 'nya', 'caramel', 'macchiato', 'dari', 'janji_jiwa']","['hari', 'kopi', 'nya', 'caramel', 'macchiato', 'janji_jiwa']",hari kopi nya caramel macchiato janji_jiwa
@Pai_C1 janji_jiwa seblak aesthetic,@Pai_C1 janji_jiwa seblak aesthetic, janjijiwa seblak aesthetic, janji_jiwa seblak aesthetic,"['janji_jiwa', 'seblak', 'aesthetic']","['janji_jiwa', 'seblak', 'aesthetic']","['janji_jiwa', 'seblak', 'aesthetic']",janji_jiwa seblak aesthetic
@FOODFESS2 @capymoio knp byk yg ga suka janji_jiwa pdhl itu fav gueh 2nd is kopken trs fore tp fore manis sih,@FOODFESS2 @capymoio knp byk yg ga suka janji_jiwa pdhl itu fav gueh 2nd is kopken trs fore tp fore manis sih,  knp byk yg ga suka janjijiwa pdhl itu fav gueh nd is kopken trs fore tp fore manis sih,  knp byk yg ga suka janji_jiwa pdhl itu fav gueh nd is kopken trs fore tp fore manis sih,"['knp', 'byk', 'yg', 'ga', 'suka', 'janji_jiwa', 'pdhl', 'itu', 'fav', 'gueh', 'nd', 'is', 'kopken', 'trs', 'fore', 'tp', 'fore', 'manis', 'sih']","['kenapa', 'banyak', 'yang', 'engga', 'suka', 'janji_jiwa', 'padahal', 'itu', 'favorit', 'saya', 'indak', 'is', 'kopi kenangan', 'terus', 'fore', 'tapi', 'fore', 'manis', 'sih']","['banyak', 'engga', 'suka', 'janji_jiwa', 'padahal', 'favorit', 'indak', 'is', 'kopi kenangan', 'terus', 'fore', 'fore', 'manis', 'sih']",banyak engga suka janji_jiwa padahal favorit indak is kopi kenang terus fore fore manis sih
Halo warga Magelang Shoes And Care Open Recruitment! Kami mencari : Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE: SHOES AND CARE Ruko Maris Square A9 Magelang (Jadi satu dengan kopi janji_jiwa jilid 261) https://t.co/pCqwGQzCGO https://t.co/1L39BCrJvz,Halo warga Magelang Shoes And Care Open Recruitment!,Halo warga Magelang Shoes And Care Open Recruitment,halo warga magelang shoes and care open recruitment,"['halo', 'warga', 'magelang', 'shoes', 'and', 'care', 'open', 'recruitment']","['halo', 'warga', 'magelang', 'shoes', 'and', 'care', 'open', 'recruitment']","['halo', 'warga', 'magelang', 'shoes', 'and', 'care', 'open', 'recruitment']",halo warga magelang shoes and care open recruitment
Halo warga Magelang Shoes And Care Open Recruitment! Kami mencari : Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE: SHOES AND CARE Ruko Maris Square A9 Magelang (Jadi satu dengan kopi janji_jiwa jilid 261) https://t.co/pCqwGQzCGO https://t.co/1L39BCrJvz,Kami mencari : Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE: SHOES AND CARE Ruko Maris Square A9 Magelang (Jadi satu dengan kopi janji_jiwa jilid 261) https://t.co/pCqwGQzCGO https://t.co/1L39BCrJvz,Kami mencari  Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE SHOES AND CARE Ruko Maris Square A Magelang Jadi satu dengan kopi janjijiwa jilid   ,kami mencari  store manager shoe technician kirimkan cv dan lamaran ke shoes and care ruko maris square a magelang jadi satu dengan kopi janji_jiwa jilid   ,"['kami', 'mencari', 'store', 'manager', 'shoe', 'technician', 'kirimkan', 'cv', 'dan', 'lamaran', 'ke', 'shoes', 'and', 'care', 'ruko', 'maris', 'square', 'a', 'magelang', 'jadi', 'satu', 'dengan', 'kopi', 'janji_jiwa', 'jilid']","['kami', 'mencari', 'store', 'manager', 'shoe', 'technician', 'kirimkan', 'cv', 'dan', 'lamaran', 'ke', 'shoes', 'and', 'care', 'ruko', 'maris', 'square', 'a', 'magelang', 'jadi', 'satu', 'dengan', 'kopi', 'janji_jiwa', 'jilid']","['mencari', 'store', 'manager', 'shoe', 'technician', 'kirimkan', 'cv', 'lamaran', 'shoes', 'and', 'care', 'ruko', 'maris', 'square', 'a', 'magelang', 'jadi', 'satu', 'kopi', 'janji_jiwa', 'jilid']",cari store manager shoe technician kirim cv lamar shoes and care ruko mar square a magelang jadi satu kopi janji_jiwa jilid
@deuniversee janji_jiwa?,@deuniversee janji_jiwa?, janjijiwa, janji_jiwa,['janji_jiwa'],['janji_jiwa'],['janji_jiwa'],janji_jiwa
Kopi susu sahabat janji_jiwa ada gila2nya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,Kopi susu sahabat janji_jiwa ada gila2nya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,Kopi susu sahabat janjijiwa ada gilanya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,kopi susu sahabat janji_jiwa ada gilanya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,"['kopi', 'susu', 'sahabat', 'janji_jiwa', 'ada', 'gilanya', 'enakkkk', 'bgtttt', 'pliss', 'skg', 'jg', 'fav', 'bgttt', 'mana', 'murahhh', 'gilaaaaa']","['kopi', 'susu', 'sahabat', 'janji_jiwa', 'ada', 'gilanya', 'enakkkk', 'banget', 'pliss', 'sekarang', 'juga', 'favorit', 'banget', 'mana', 'murah', 'gilaaaaa']","['kopi', 'susu', 'sahabat', 'janji_jiwa', 'gilanya', 'enakkkk', 'banget', 'pliss', 'sekarang', 'favorit', 'banget', 'mana', 'murah', 'gilaaaaa']",kopi susu sahabat janji_jiwa gila enakkkk banget pliss sekarang favorit banget mana murah gilaaaaa
Abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janji_jiwa banyak bangetttttt ada kyknya 8/9 :'',Abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janji_jiwa banyak bangetttttt ada kyknya 8/9 :'',Abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janjijiwa banyak bangetttttt ada kyknya  ,abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janji_jiwa banyak bangetttttt ada kyknya  ,"['abis', 'beberes', 'kamar', 'dan', 'gw', 'baru', 'sadar', 'ternyata', 'gw', 'numpuk', 'totebag', 'janji_jiwa', 'banyak', 'bangetttttt', 'ada', 'kyknya']","['habis', 'beberes', 'kamar', 'dan', 'saya', 'baru', 'sadar', 'ternyata', 'saya', 'menumpuk', 'totebag', 'janji_jiwa', 'banyak', 'banget', 'ada', 'kayaknya']","['habis', 'beberes', 'kamar', 'baru', 'sadar', 'ternyata', 'menumpuk', 'totebag', 'janji_jiwa', 'banyak', 'banget', 'kayaknya']",habis beberes kamar baru sadar nyata tumpuk totebag janji_jiwa banyak banget kayak
