stemming,label,total_weight,word_weights
lanjut janji_jiwa stay hungry tau,positive,4,"[2, 0, 0, 0, 2]"
banyak engga suka janji_jiwa padahal favorit indak is kopi kenang terus fore fore manis sih,positive,19,"[3, 0, 3, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 5, 0]"
kopi susu sahabat janji_jiwa gila enakkkk banget pliss sekarang favorit banget mana murah gilaaaaa,positive,17,"[0, 0, 4, 0, 3, 0, 1, 0, 0, 5, 1, 0, 3, 0]"
habis beberes kamar baru sadar nyata tumpuk totebag janji_jiwa banyak banget kayak,positive,6,"[3, 0, 0, 0, 2, 4, -4, 0, 0, 3, 1, -3]"
bjir wkwjwkk janji suci penting bukan janji_jiwa laper,positive,1,"[0, 0, 0, 4, 3, -3, 0, -3]"
janji_jiwa waras enggak waras pas jaman covid,positive,5,"[0, 2, 0, 2, 3, -2, 0]"
gua coba pas bal surabaya engga tau kalo tempat,positive,7,"[-3, 2, 3, 0, 0, 0, 2, 0, 3]"
tuku sih memang baik murah enak jelas family mart,positive,16,"[0, 0, 4, 3, 3, 5, 1, 0, 0]"
dulu jaman corona soe enak enggak mahal corona jadi enggak jelas,positive,1,"[0, -2, 0, -5, 5, 0, 1, 0, 1, 0, 1]"
janji_jiwa mah manis doang enak kagak,positive,8,"[0, 0, 5, 1, 5, -3]"
yessss tertawa lumayan janji_jiwa sekarang sama toastnya lumayan enaaaaak,positive,10,"[0, 5, 1, 0, 0, 3, 0, 1, 0]"
kalau janji_jiwa selalu beli matchanya sih sini rasa lumayan suka banget sama toastnya makanya suka mampir,positive,16,"[-1, 0, 0, 2, 0, 0, 0, 2, 1, 3, 1, 3, 0, 0, 3, 2]"
janji_jiwa matcha lovers beli cuma ribu klaim diskon,positive,11,"[0, 0, 4, 2, 3, 0, 0, 2]"
begini tau dulu janji_jiwa kopi soe waktu awal kopi franchisean bikin kopi pakai mesin alias pakai rokpresso manual jadi mungkin asa encertipis kesan,positive,2,"[-1, 2, 0, 0, 0, -5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 3, 0, 0]"
pakai mesin enggak jamin,negative,-5,"[0, 0, 0, -5]"
sejak kapan janji_jiwa gerobak god damn,negative,-4,"[0, 0, 0, -4, 0, 0]"
janji_jiwa engga enak,positive,5,"[0, 0, 5]"
aku pernah,positive,2,"[2, 0]"
janji_jiwa enggak minum kopi beli toastnya,negative,-1,"[0, 0, -3, 0, 2, 0]"
cui belum tinggal aceh amp sering medan janji_jiwa enak banget loh,positive,10,"[0, 0, 1, 0, 0, 3, 0, 0, 5, 1, 0]"
tinggal jakarta coba janji_jiwa iya memang rada sih,positive,7,"[1, 0, 2, 0, 0, 4, 0, 0]"
turut kopi alfamart the buruk sih janji_jiwa enggak buruk,negative,-13,"[-3, 0, 0, 0, -5, 0, 0, 0, -5]"
janji_jiwa buruk habis sih mana mahal lebih enak abc kopi susu botol cuma rebu,positive,8,"[0, -5, 3, 0, 0, 1, 1, 5, 0, 0, 0, 0, 3, 0]"
janji_jiwa sama point,positive,3,"[0, 3, 0]"
based on my sendiri alam,negative,-1,"[0, 0, 0, -3, 2]"
janji_jiwa memang paling underrated rasa kopi bersih tempat,positive,15,"[0, 4, 2, 0, 2, 0, 4, 3]"
kagak enak,positive,2,"[-3, 5]"
janji_jiwa enak kok non coffee nya wkwkwkw,positive,7,"[0, 5, 0, 0, 2, 0, 0]"
janji_jiwa kopi rasa kopi sachet kurang banget matcha nya encer sama satu menu non coffee rasa kayak sabun,positive,7,"[0, 0, 2, 0, 0, -3, 1, 0, 0, 0, 3, 3, 0, 0, 2, 2, -3, 0]"
